Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),top_3_strengths,top_3_improve,other_feedback
,,"Some material could be better at promoting learning, as opposed to memorization.","That's pretty broad. Some teachers are excellent, some not as much.","Again, some are better than others",,Fourth grade conference (Mammon) not very effective,,Religious education in this diocese seems to be about dictation and memorization. There is little opportunity to question the rigid dogma. Religion could be an interesting subject if it was more flexible.,Some students are turned off by the rigidity of the teaching. I have heard the comment: I no longer want to be Catholic. I'm pretty sure this is not the intention of religious teaching at St. Joseph.,"Works fine for girls, not as well for boys",,,,Seems like lots of committed families have been leaving recently. ,,,,,,"Good community, mostly good teachers, well run.",Religious education too dogmatic. School lunch program -- kids don't like it any more.,
,,,,,,,,,,,,,,,Would like to see some of teachers put grades in power school faster.,,,,,"academics, service that the students participate in yearly, teachers","Hot lunches-much better choices last year than this year, gym uniforms- something but white T shirt would be better (this is difficult for teen girls not best option)",
,,,Some teachers appear much more positive and enthusiastic than others.  ,,,,,The First Reconciliation/First Holy Communion teaching and preparation was outstanding...one the highlights of my children's education at St. Joe!,,,,,,,,"Some grades are more heavy on the communication, which I personally am fine with, but more consistency would be helpful.  For example we hear from the third grade teachers multiple times a day and we hear from the fourth grade teachers barely at all.   The Kindergarten communication has been appropriate, and I have enjoyed the personal touch of pictures shared for special activities.",,,,"The strong sense of community at St. Joe, The strong commitment to Catholic teaching, The leadership, both past and present.","1. Continuing to recruit top teachers and to continually evaluate current teacher...making sure they are continuing to engage and encourage the students, in all areas, and making changes if needed.  2. Continue to foster a positive, accepting environment, from the leadership down to the youngest students...cultivating a school where everyone feels a sense of acceptance and joy about working/studying at St. Joe.  3.  Look at other areas where the learning process may be enhanced.",
,,I have seen some computers that need to be replaced.,,,,,,,,,,,,,Would like to see SCRIP form shortcut on the main page.,,,,,"Strong academic performance, community, parent support",,"Since the school colors are blue and gold, why not let students wear yellow shirts along with the blue and white? Certainly not an important issue, but they may appreciate the variety.  

Thanks for all that you do. We love SJGS!"
"It is appropriately challenging for my kindergartner, but my first grader would like more of a challenge.",,,,,,,,,,,,,,,,,,,,"Loving, caring, welcoming, serving environment that puts it all in the perspective of the gospel.",,"My number one priority in selecting a school was one with a Christian identity and education, an atmosphere of sharing the Gospel and God's love with our children. Not specifically Catholic."
,,,,I've always felt up-to-date until this year with my 4th grader. I didn't know she had F's on some of her work until her progress report which is frustrating because I could have intervened earlier to make sure she is doing her work properly.,,,,,,,,It is really difficult to be involved when you have littler ones at home since they cannot come along during the school day.,"The teachers and staff are wonderful, but the parents can be really hard to get to know. They all seem to already know each other and be good friends.",,,,,,,"Catholic identity, academic challenge, and caring teachers and staff","relationships between families/parents, better feedback from 4th grade teachers, teaching organizational skills to the students",I feel like communication from the school has improved a lot over the past four years
,,,,,,,,,,,,,,,,,,,,"caring attitude among staff, teachers",technology for students,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
I feel our science and Spanish program need to be greatly strengthened,,,,,,,,,,,I think things are improving with various after school clubs,,,,,,,,,"I have really been impressed with the transition in principals.  I think Mr. Azar has done an excellent job in not making drastic changes, but rather listening and learning first. I look forward to hopefully strengthening some areas where the learning could be enhanced.  I would like to see creativity in doing this (trips to ND science lab, field trips into the community.  The sense of community and desire to impart a sense of catholic identity has always been a strength of the school in my mind.","I think the junior high should make an educational trip to our nation's capital. The benefits and learning opportunities far outweigh the logistic concerns in my opinion.  I hope the service opportunities for the junior high are reevaluated.  Having had 4 children through, not one of them have found their time at La Casa to be beneficial for them, or the children there. St. Margarets is fabulous and the year the class adopted the veterans center are excellent. Again, I think providing hands on, active learning as well as lectures are important to inspire learning. When my child reports that they listened to a teacher read from the book for a class period, and this happens frequently, then I think more effort needs to be put in by the educator to provide stimulating, thought provoking, opportunities to learn the material. ",
,,,"I have an incredibly difficult time with Mrs. Beck who has called some students fat, when in fact they are not.  No one should ever be called fat, particularly in this age of severe eating disorders and poor body image.  She has demeaned students and I have worked with my child to overcome the incredibly harsh and inappropriate words and things Mrs. Beck has said and done.  ",,,"Unless your child is having difficulty, I find the parent teacher conferences a waste of time. ",,,,,,,,"While we have been satisfied with our children's education at SJGS, I would think there could be more adaptable rules for the junior high students, especially the 8th graders.  ",,,,,,Mrs. Pelligrino and Mrs. Hamel and Mrs. Sherwood!!!,"The Spanish program is totally ineffective.  PE in the grade school should be fun and not drudgery.  If you want to get kids to enjoy exercise, make it fun.  Mrs. Beck is like a bad PE teacher out of the 1950s.",
,,,,,Poweschool is more informative at this age group when they don't always bring papers home or give their folders to parents.,"It is a roll of the dice with Jr. high conferences.  In our experience, if you aren't lucky enough to get a conference with their homeroom teacher (or a core teacher - 3rd floor or Mr. Cole) it isn't a very effective conference. ",Back to school nights are very difficult to navigate if you have multiple children at the school.  You have to pick and choose which teachers to go to - especially if both parents are unable to attend and split the duties.    Jr. high back to school nights are very confusing on where to go to hear everything.  In all our years here we have never had a successful time hearing from all of the Jr. high teachers.  Again it is like you have to pick the classes you are most concerned with instead of being able to get a full picture of their entire schedule and expectations.,,,,,"I know there are a lot of opportunities but I don't think the school does a great job of presenting them to parents.  Signing up at the beginning of the year is very difficult and I wish there was an ongoing effort to reach out and involve parents or more descriptive information on volunteer opportunities.  Sometimes things seem very ""cliquey"" which can be frustrating and lead to parents feeling excluded and not wanting to volunteer.   ",see above comments.,,,,,,,"1 - academic rigor, 2 - Heathworks program, 3- compassionate teaching","1 - bring back Inner Challenge, 2 - What is HASA's role vs. the St. Joseph CARES group, class Ambassadors - it seems they have undercut the role of HASA as the parent group for the school, 3 - new programs/speakers/etc. seem geared toward younger families as if the Jr. High doesn't matter since they will be leaving the school 4 - hot lunch is terrible: the food is never warm enough for the 1st lunch period, don't always receive what the lunch was supposed to be, inconsistent portions, confusion over ordering a ""double lunch""/extra meal vs. ""double serving""extra main dish - we aren't getting what we paid for and the kids respectfully do not question the teacher/adults serving.  ",
,,,,,,,"I think it is important for new parents to attend but after 5 years of attending, I don't get much out of it anymore.",,,,,"We like to volunteer but it seems to be the same people over and over.  I would prefer to pay more tuition and get fulltime/part time staff to manage recess, for example.",,,,Some are much better than others.  ,,,,"Catholic identity, community, academic",Student/teacher ratio is a problem. Not enough resources for underperforming students. Not enough 1-on-1 attention (due to student/teacher ratio),
,,,,,The progress reports are not very helpful for the younger grades where letter grades are not given. It is difficult to see where the child is in the packet of testing. ,They are very rushed. I would like there to be more time to discuss then to rush through to the next time period.,,,,,,,,,,Communication this year from the oldest child's teacher has been sporadic at best and not helpful on things happening in the classroom.,,,,,,
,,,,,,,,,,,,,,,,,,,,"Catholic education, community and academics",,
,,,,,"It would be really helpful to me to have some of it translated from the education standards into layman's terms, particularly in the progress reports.  ",,,,My only comment here would be that some of the principles don't seem to translate (or be translated) into everyday life for the students; the playground being one place where this appears and sometimes in the kinds of conversations that we hear are taking place at school. ,"Overall, yes. I strongly agree. HOWEVER, I am very concerned about the lunchroom and the standards the children are held to (complete silence) and the condescending way that some (not all) of the teachers speak to the students.  It is demoralizing and you can see this in the kids.  I don't understand why we treat the lunchroom as yet another place to control their behavior. Simply explain to kids and their parents that if they do not eat during lunch, they will be hungry later and that is no one else's responsibility to manage. If their classroom behavior or performance suffer, as a result, that is also their SOLE responsibility.  The current lunchroom climate is better than it was in the past, but it is still pretty awful.  I went thru all of elementary and middle school without ANY of this oversight at lunchtime.  Our kids have enough pressure on them during the day. ",,"But I also think that an all volunteer army doesn't always help those who do what they can feel as tho all of the parents are doing their part.  It seems to always come down to the same few.  I would like to see SJGS explore a model where all parents are expected to volunteer a certain amount an academic year (in order to get their tuition break, for example). ",,,,,,,It would REALLY help if the FACTS invoices came with some sort of description of what the bill is for.  ,"the teachers, passionate and focused administrators, the school community","class size; additional streamlining of parent-teacher communication (i.e., permission slips, dress down days) - use less paper!",
,,,,,,,,,,,,"The past 2 years, I have loved participating in Centers for my kids.  However, they have disappeared each year once we get to the holidays.  I wish there was a way for me to be helpful in the classroom more often.",,,,,,,,1) teachers and staff 2) families 3) academic reputation,"Opportunities for parents to volunteer in the classroom, especially in the younger grades.  ","When we arrived we were told that Scrip is the only fundraiser SJGS does.  I loved that plan and we have contributed to Scrip at a good clip.  However, at this time of year when the coupon books come out and the jump rope a thon and girl scout cookies (which I do realize are actually not actually SJGS), I feel like that original statement was not true.  I wish it was!"
,,,,"On more than one occasion, I didn't hear about the issue until 5+ months afterward.",,,,,,,,,"My child has said that their teacher ""bullies"" them sometimes. ","My child has cried to me that ""I can't be myself at St. Joe"". From my interactions with the teacher, I would agree. I have an overwhelming sense that if you do not fit a certain paradigm of the perfect student, then you are classified as ""other"". ",,,,,,,Diversity and making more of an effort to include students who are from varied socioeconomic backgrounds. ,
,,,,,,,,,,,,,,,,,,,,"Academic preparation for High School, academic assistance, Community",Better website,
"The academic curriculum is stagnant; my younger student is doing the exact same activities as my older student.  This is concerning for many reasons, but mainly they have different talents and interests and are expected to fit into the mold that has already been created.  Additionally, challenging would be defined as a curriculum that is inquiry based and requires students to explore and learn.  Challenge is given by adding assignments or work that is not developmentally appropriate.   ",,EveryDay Math is the old version and the materials that have been sent home (copies) and books are not new.,If they are well-behaved and can complete the worksheet that is given independently.,The inconsistency is evident... different grade levels are stronger than others,I would rather see my own child's academic growth and not compared to the class.  The data given at report cards and conferences is often over a month old.,The data/documentation is often over a month old. ,Expectations are clear.... they have been the same for each year. ,,,It depends on the teacher and the grade.... there is a climate of adult intimidation and fear to produce good behavior.  There is a definite student expectation and adult expectation.  The way some teachers talk to students would never allowed by the student to talk to an adult or another peer.,Band should be an offered during the day... if you are going to follow a junior high model then they should be able to select electives classes. Students do not have choice... all curricular decisions have been set and they are to accept it. ,If you do not work during the day,"If you are able to be there during the day, I am sure it is welcoming.  If not, you are an outsider or perceived not involved. ",I would truly depend on what the friend was wanting and expecting from a school.  There would a very honest conversation about the strengths and weaknesses that we have experienced during our time at SJGS.  My children have received a strong religious base and if that was the only element in which they were looking for their child than the recommendation would be given.,,truly depends on the teacher,,Families should not be expected to pay an annual registration fee outside the tuition per student EVERY YEAR. Just because a family is paying full tuition doesn't mean it's financially easy.  Having an additional payment of 250.00 in February is cruel. ,If it fits into the system that is established.  Parents should be able to select their monthly payments. There are always unexpected expenses in homes and sometimes one can pay more a month and sometimes some one may want to pay less OR split the monthly payment into two payments.,"Catholic Identity, Location, Student/Teacher Ratio","Curriculum and teaching, Academic Reputation, ","The above chart is difficult to answer appropriately based on the word important.  We have had to sacrifice some items for others and are well aware of that fact.  It has to be understood that the student population (in its self) produces the academic success.  I also feel that you cannot challenge the new administration in any way or you are treated differently.  As I was completing this survey I received an email about meeting the administration in the morning for coffee and chat.  Again, there are parents that work and cannot take off to have coffee and chat and we pay high tuition for the administration to be drinking coffee when the students are working.  It says a lot that all the administration can be away from the instructional area during the day to socialize.  It seems that socializing is more important than solid academic instruction which has been clearly displayed."
Difficult question when you have multiple children in multiple grades. I would definitely weigh more toward the not challenging enough  rather than too challenging.,,,Depends again on the particular grade level,,,"I don't believe the junior high conferences with the format of the student telling the parent what they are doing is worthwhile. It is a nice exercise for them to do, but I think parents need to hear from the teachers or if there are no issues then maybe no need for a conference. ",,,,The rules for the playground and discipline that follows should be reviewed. It is unfortunate that it is the one time that the students are allowed any freedom to move about and get energy out. There are so many rules that the children are not allowed to just play a sport or run around.,,,,,,,,,,"1) catholic identity (volunteering in the community has an excellent reputation), 2) SJGS has the highest participation rate of all catholic schools in extra-curricular activities (students enjoy each other when they are allowed some freedom to interact and they treat one and other with respect), 3) SJGS has a few exceptional teachers","1) there needs to be a better evaluation process to replace teachers that are not meeting criteria, 2) there needs to be better use of the people in our community and alumni to find candidates for open teaching positions","The administration should survey families about the hot lunch program before the end of the year. The survey would show that the majority of families would prefer to go back to the hot lunches that were done for many many years on Mondays and some Fridays (Little Caesars, Subway, Einsteins, etc) as these were a treat for the children. The result of the catered food program is much wasted food by the students. You also might have more luck getting parents to volunteer if their job is simply to set out the prepared food."
,,,,,,,"Back to school nights were effective until this year when we did not hear or see each junior high teacher. We remained with the homeroom teacher who only spoke about discipline. In the past, each teacher presented their syllabus and what we should expect for the year. Thankfully Mrs. Han did present to parents on what the math curriculum would be for the 7th grade but that was the only teacher. ",,,"The current ""God Lines"" is not effective discipline for junior high students. The idea of writing ""reflections"" is not effective for this age group. ",,,,,,,,,,"It is a diverse welcoming community, it is a private  catholic school but is not pretentious, strong academic success of students beyond grade school (our graduates are well prepared for high school)",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"The data sometimes is outdated by the time it reaches us, which can be confusing or misleading ",,,,,,,,,,,,,,,,Use of alternative teaching methods,
,,,,,,,,,,,,,,,,,,,,"Academics, Catholic community Identity, organization",Extracurricular programs for younger grades. Intramural basketball is a great program. School Band included as an actual music class. It is a great program to have in the school curriculum.,
,,,,,,,,,,,,,,,,,,,,Family oriented community,Parent communication,
,,,,,,,,,,,,,,,,,,,,"academic expectations, variety of materials/activities, compassion and outreach",teacher/student ratio,
"While the academic curriculum feels appropriate to me, I have real concerns about the amount of homework in 2nd grade.  With two working parents in our family, from the time we pick the kids up and get home from after care, our entire evening is spent working through homework with our second grader, with the exception of dinner.  We try to do as much to alleviate this as possible - standards weekly homework is completed over the weekend, long term projects planned out and completed in advance, however it still seems that most of our interactions in the evening center around pushing our 2nd grader through spelling, math facts, reading and worksheets.  These interactions aren't always positive, with everyone tired at the end of a long day, and don't leave much, if any, left for any type of family activities if we want to achieve a reasonable bed time.  ","I continue to be concerned that the large class sizes create the potential for well behaved students who are struggling academically to go unnoticed.  However, when I have raised concerns to my child's teachers, I have been very pleased with their responsiveness.  Mrs. Cramer is a WONDERFUL resource, and has been a tremendous factor in improving our child's academic success this year.  I am concerned that she is devoting a lot of time to subbing, which takes away from her time as a resource for those students who need her assistance.",,,"As I mentioned above, I feel the teachers are very responsive when parents raise a concern.  However, the large class sizes make it difficult for them to catch problems that may be less obvious.",,,,"Overall I feel SJGS does a good job of educating our children about the Catholic faith. I am impressed with what they bring up at home and the connections they are making based on what they learn at school.  I've also been pleased with the preparations for first reconciliation and first communion.

On the other hand, I was greatly concerned to see the email from Fr. Kevin regarding the 8th graders participating in the March for Life as a school event.  I won't have an 8th grader for a number of years, but I was really troubled by this decision.  I have no problem with SJGS presenting the older students with the Church's teachings in regards to abortion, as part of a broader curriculum of Church teachings.  However, to require the students to participate in a political rally felt very over the line to me.  And while you may have allowed students to opt out of their parents complained, this option was not readily apparent in the email, and may not have felt comfortable or safe for the students and families who did not want to participate in the march.  If you feel that participating in this march is an important opportunity for your 8th grade students, I strongly recommend you present it as an opt IN opportunity, rather than a required event or on par with a class field trip.",,"I really like the ""God-lines"".  I feel that the stop and reflects are a good tool for the lower grades, but perhaps are used a little aggressively in the early days of the school year as the kindergartners are making the transition from pre-school to the more structured environment of SJGS.",,,,,I tend to rely more on the email communications than the website.  I LOVE the google calendar - that makes life so much easier!!,,,,,"the great community, the teachers, the strong tradition of academic excellence","student teacher ratio, meaningful homework that is appropriate in time and scope for grade level, retaining top caliber teachers.","I would like to see the kindergartners have a brief morning recess as well as the regular lunchtime recess.  I know this is something they do in the first grade, and I think it makes a tremendous difference in the ability of children that age to concentrate and behave in the classroom.  Especially as they transition to the more structured environment of kindergarten from the more flexible environment of preschool, I think this could make a world of difference!"
,,,,,,,,,,,,,,,,,,,,,,
,,,"You've got some really weak teachers specifically in Spanish, gym, and junior high science.",,,,,,,"The school has never figured out how to adequately handle and deal with junior high boys.  The discipline regimen is too quick to punish boys for ""being boys"" and yet allows girls to be ""mean girls"" without consequence.  It's disappointing to see such inconsistency in the application of discipline. ",,,,,,,,,,"Great community, great families and students, academically strong school","New Spanish teacher, new gym teacher, new junior high discipline program",
,,,,,,,,,,,,,,,,,,,,"Faith, academics and unity",I think Sjgs is an excellent school ,
,,,,,,,,,,,,,,,,,,,,"Catholic identity, community/parent involvement, quality of teaching","Facilities (older part of building), technology, extra curricular opportunities",
,,,,,,"The conferences are helpful but felt rushed, it is hard to have a good discussion in 15 minutes.  But I understand that it would be difficult to make them longer and fit all of the conferences in.  And the teacher does make herself available for other meetings as requested.  ",,,,"Depending on the child, I think that the stop and reflect system can start to make a child feel very down on themselves.  I think a child may start to think they are bad if they get stop and reflects and by having them on the calendar in the their folder for the whole month, it reminds them of the times they were bad.  I think it would be great to see a balance to the stop and reflects by also recognizing the children for good deeds ""GD"" or acts of kindness ""AK"".  That way a child could also look in their folder and see that over the course of a month they  may have had a ""SR"" but also some good deeds.  ",,,,,,Great job with this!,Enjoy reading through the newsletter each week.,Yes!,,"Academics, staff, community",Discipline methods  and extra resources to help students who may be struggling academically,
,,,,,,,,,,,,,,,It's getting a little dated but it works.,,"Sometimes its a bit too much information.  I know there's a lot going on....so, it's fine...but maybe a little editing or triage is needed.  ","I almost missed it this year but I saw it buried in a newsletter (This is my triage point).  Nevertheless, I did find it and I did register my kids.  Further, I might have missed some clearly communicated messages...so the fault could be mine.  Again, could there be a way to prioritize information visually.",,A strong Catholic community with good academic standards and school spirit.  My kids like going to school.  It's a real community that matters to them.,"I think you should figure out a way to increase teacher salaries.  I am very pleased with the school and as I said, my kids like going to school (That's really important); the teachers do a great job and I wish their compensation could be more worthy of their important work.  The struggle, of course, is tuition...how much more would I pay?...I do not think I could go over $10,000.","Overall, I think SJGS creates a Catholic culture conducive to learning and faith formation.  This is pretty much what I got as a kid and I am grateful that in the midst of an evermore secular culture, my kids are getting the same."
,"Thank you for the Fast Forword program, we hope it continues.  The class sizes are too large, especially for the lower grades",,"Mrs Green, Mrs. Gelchion, Mrs. Schroeder are great. Good job",,I did not really understand the MAP assessment bar graphs. It may be helpful to explain this at a parent teacher conference or at a back to school night. ,,,Please continue with the Theology of the Body teachings. Please bring back the Inner Challenge program for the Junior High.,,,,Especially in the lower grades. Volunteering during school hours is hard when you have smaller children at home. Maybe consider allowing parents with preschoolers to still volunteer by allowing them to bring their children with them. ,,If the class sizes could be smaller,,,,,,"Family involvement, reaching out to those in need in the South Bend area, Strong foundations in the K-3 grades","Otter Creek causes stress and anxiety, Allowing parents with young children to volunteer during school hours, even if that means bringing younger children with them.  Revamp the 4th grade social studies curriculum. Our 4th grader has more home work than our 6th grader and some of our high school children. ","Consider Math Tracks program, do away with the timed Otter Creek program. Otter Creek causes stress and anxiety for some children. Two recess times for K-2 grades. Bring back the Inner Challenge program for 6-8 grade. Consider smaller class sizes especially for the younger grades. We like the extended time period for wearing shorts. "
,,,,,,,,,,,,,,,,,,,,"Academic resources, teachers, technology communication",Better teacher communication,
,,,,,,,,,,,,,,,,,,,,"Community, academic standards, and cost/value",So far we are so happy.  Our child loves kindergarten.  I do get concerned about what I hear from parents with children in grades four and up from an inconsistency and communication perspective.,SJGS is a wonderful welcoming environment.  There is something really special about this school.  
,,,,,,,,,,,,,,,,,,,,"academics, School community/culture, Catholic identity and education",,I think parent communication is really strong this year. The newsletter is being used efficiently and effectively.
,,,,,,,,,,,,,,,,,,,,,"It would be nice to have more cultural diversity in the classrooms.
I don't like taking away recess time as a form of discipline. Kids need that time to burn off energy.
The younger grades should have more than one recess time. I also think they should have snack in first and second grade.",
Sometimes the homework is too much for the grade level. It's important to keep in mind that children have been in classrooms for 6 hours and need active play time balance. ,"I think students struggling can slip through the cracks. Especially those keeping just to average or just below grade level performance. We found vision therapy was needed in 3rd grade but had been asking in concern about reading struggles since first grade.  multiple times I asked teachers/principal for tutor referral or recommendations on extra support I could provide but wasn't given solid direction. (Also, there weren't enough fast forward licenses.) Recommendation might be to have trained resource teacher on staff or to visit periodically whocould help identify problems, provide direction. ",This year has proven challenging to complete projects efficiently and in timely manner with old computers and not enough iPads.,,,Grades k-3 state progress reports are not helpful  in evaluating status of comprehension. The descriptions are practically the same and our experience is all areas start at 2-3 and progress to 4-5 by end of year. As a parent for those grades I mostly want to know how is my child doing with math and reading skills. Where is he/she struggling or need extra support.  Maybe a handwritten note from the teacher would be more helpful? We are very supportive of the idea that grades are not assigned until 4th grade. It keeps students focused on learning rather than on grades.   ,,,,"It's via relationships that we reflect good character, Christian faith and characteristics. I have found St joe to be hands off with children's relationships with each other. Mrs. Hudac provides great lessons but there isn't follow through. I highly recommend that teachers rotate even once per month on the playground and get more involved with watching and guiding how students relate with each other. ",,,,,,,,,,,"School community culture!!, academic excellence, catholic identity","Teachers on playground and taking active role in character formation and relationships, a trained resource teacher to provide evaluation and guidance on extra steps to help struggling students, more recess time or a second break for k-3 will help concentration,","Well done survey. Thanks for option to comment. While theres places for improvement, but overall we LOVE St joe!"
,,,,,,,,,,,,,,,,,,,,,,
"This is one of my few issues with the school.  One of my children could be doing much more than he is doing in class, and the school does not seem to have a good plan for challenging kids who are ahead of the class.  The teacher has tried to work with him, but with so many children in the class she does not really have the time to give him extra attention, when she also has children who are struggling.",,,,,"The progress reports are informative but the report cards are not, at least for the younger grades.  It really seems like they just move most of the kids from a 3 at the beginning of the year to a 4/5 at the end on each of the categories.",,,,I wish the service element was stronger in the younger grades.  I couldn't even tell you what the 2nd grade service project/commitment is.,,,,,,The calendar tells us what is happening but it would be nice if the links provided more details about what the event is. ,,,,,"The community, the teachers (at least in the lower grades where my kids are), and the variety of programs.","Classes are too large, rely too heavily on parent volunteers (especially for lunch and recess), lack of a plan for challenging high level students.","The classes are too large.  The lower grades have 26/27 kids per class, and there is no way to reach the different kids at their level with this many.  Even the rooms are too crowded.  I would pay more to have the class size down to 24 or below.

I also feel that the school is stuck in an old model of relying on parent volunteers for basic functions.  Now that so many families have two working parents this just isn't feasible.  It is fine for parents to help with centers and special events, but for everyday, essential functions like recess, you need a reliable presence who can get to know the kids and school procedures.  I would pay more to have these services covered (and would even pay extra to cover financial aid so that families who can't pay more can still attend)."
"Except for Mrs Regnery, middle school (and some of grade school) has had poor English instruction.  When they get to high school there is no remaining opportunity to learn grammar, etc... that will be needed in life (and on college entrance exams).  ",Resources are available to succeed in the academic program but the teaching resources are not always the quality expected.,"No textbook used in language arts 7th or 8th grade so no sense that the lesson plans were structured, productive or building toward the necessary curriculum.  For science there was a textbook for 7th grade that was not used in class and no textbook for 8th grade....results in the same ""lack of structure"" situation.","Some teachers are excellent and some are not.  For example, Mr. Cole's inability to grade work and enter those grades in anything near a timely manner indicates a significant lack of enthusiasm.",Same as above.,,,,,,Procedures are fine.  The effectiveness depends on the teachers.  About half the teachers are good at it and half are not.  Those classrooms where they are not tend to suffer.,,,The intention is good.  Would give this a big yes if the discipline is able to eliminate bullying.,In years past I have recommended SJGS to friends with a caveat regarding the bullying.  It may have improved under Mr. Azar but I don't have that knowledge.,,,,,,Catholic identity.   Impact of the parish priests.  Some of the teachers have been excellent.,Discipline consistently good across the teachers.  Better teaching in the middle school.,
Too many worksheets and not enough creative thinking,,,,,,,,,,,It would be nice if Lego and Chess weren't at the same time. ,,,,,,,,,"catholicism, teachers, families ",curriculum needs to be project-based ,
"I think the science curriculum could be more challenging.  We are a scientific household, and I think that my daughter is sometimes bored with science.",,,,,,I would have liked to meet all the teachers in the junior high instead of just the grade teachers.,,,,,,,Sometimes I feel like an outsider.,,,"Yes, but I do get google classroom alerts that are months old.  Asking a pre-teen about stuff is hard enough, I do not want to create more friction with old inquiries.",,,,"academics, development of professional and writing skills","Keeping students grounded (and parents), campus community is a bit snooty",I think that the lunch period should be longer.  Try to eat your lunch as fast as you ask the children to eat.  This is developing bad eating habits.  It is healthier to eat slow.
"I would welcome a more challenging curriculum, though I do think the current curriculum is appropriately challenging for my kids. ",,,,,,,,,,,,,,,,,,,,"School community/culture, Catholic identity, academics","1- As part of their Catholic education, I'd like my kids to learn some basics about religions other than their own (especially non-Christian religions such as Judaism & Islam). Values such as appreciation of other cultures, acceptance, tolerance, etc. need to be taught earlier rather than later in order to raise the next generation of fair-minded, respectful adults. 
2- I'd like to see a greater emphasis on health and wellness throughout the school. My kids seem to eat a fair amount of sweets at school (Star of the Week treats, birthday treats, bake sales, lollipops in the strings program, etc.). I'm not opposed to the occasional treat, certainly, but it would be nice if the school culture emphasized healthy eating more. (Just one example -- on the day after Halloween, my daughter received a frosted cupcake from her teacher for All Saints Day. I love this particular teacher but did not think this was necessary after kids had been eating tons of candy the night before.)
3- I'd like to to see the kids learn more Spanish earlier. As a university employee I see the benefits firsthand for students and faculty who are fluent in a language other than English. ",Overall we are very happy with the school and appreciate immensely all the teachers and administrators there!
Depth of knowledge is lacking. Typically my children are participating in DOK level one or two assignments. ,,,"This answer varies for each staff member. 

I have been extremely happy with Mrs. Han's high expectations and how she holds students accountable for their learning. ",I would like to know how my children are growing as learners. At the 5th grade parent teacher conference the teacher shared writing sample data from August. I have not seen any work (except worksheets) come home from the 5th grade. I would like to see my child's writing progress.,,I only attended the 5th grade parent teacher conference. The teacher showed out dated data and lacked basic knowledge about NWEA. ,,,,,,,,"I would recommend grades K-3, Mrs. Green, Mrs. Han and Mrs. Sweazy. ",,,,,,"Service projects at each grade level, families value education and faith, junior high math preparation for HS.","Guiding reading groups, writing curriculum 4th grade-8th grade (except Mrs. Green was fabulous), project /community based learning","I think students should give feedback in a survey. Veronica feels that she only learns in Math class. Maggie wishes her teacher would only spend 6 weeks on a novel (not 6 months). She would also like her teachers to use a variety of teaching strategies. The worksheets are repetitive. 

The girls enjoy ICCL sports, art class, and the friends they have made. "
Some of the projects in 2nd and 3rd grades are burdens to the parents,,,This is class dependent: either the 4th grade teachers lose patience w the kids or the kids percieve that the teachers do not enjoy their behavior.,,,,,,,"The school is all over the map here. Keeping children inside during recess is antiquated and all evidence is that it is counter productive, as
childrent need to move to learn. Why not have the children write
prayers when they misbehave? The
staff always says, ""Parents do not want their child discipline."" I can assure you that we would be fine with our child writing an aplogy for
disrupting class or writing the Our Father for running in the halls, etc.",,,,,,,,,,"Loving, genuine second home
Good education
Solid faith background to help him in life","Pay teachers more 
More recess and breaks
Do not focus on standardized testd",We love St Joe
,,,,,,,"Good for new families, but feel there is little value for returning families.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Disappointed that the discipline level within 7th grade has not improved more.  Also, we expected with the new gym facility, the children would be able to gain access to the school earlier as we have to drop off our daughter early so we can be at work on time and she is forced to stand outside just before 8:00.  "
,,,,,,,,,,,,,,,,,,Although $260 for registration is high.  When other catholic schools in the area are $35/family!,,"Teachers/staff, Family community and great kids!",I believe that the Jr High needs to be looked at.  Teacher strength and curriculum have slipped.,
,,,,,,,,,,,,,,,,,"Newsletters are fantastic, thank you!",,,,,
"Other than math, the middle school curriculum is not rigorous enough. ",,,,,,,,,"There is quite a bit of hypocrisy, where the faith is used in judgment and superiority and not a lot of true ""be a decent person"" character building.  this is a huge disappointment to me.  And the kids talk about it a lot.  They say they'd rather be decent than Catholic, if being Catholic means what they've learned it means. That, to me, is tragic. ","Discipline procedures may be understandable, but they are applied very inconsistently and the kids have made a joke of them.  ","Limited activities.  Work for some, not for others. ",,Mixed bag.  Depends on the kid. ,,,very little communication from middle school teachers.  This may be normal and appropriate.  I don't know. ,,,,"Middle school math program, inclusive middle school athletics and strong 2nd grade sacrament preparation ",Comments listed above reflect these areas,
,,,,,,,,,,,,,,,,,,,,,,
