"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"DTE Energy Co.","Electric Power","Greenhouse gas and air emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Vote: 29.5%",2012,"PDF"
"Garmin Ltd.","Electronics","Sustainability report including supply chain","Supply Chain; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"Newfield Exploration Co.","Oil and Gas","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 5.1%",2013,"NOT"
"Ameren Corporation","Electric Power","Greenhouse gas and air emissions reduction goals","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Vote: 10.4%",2012,"PDF"
"Fossil Group, Inc.","Consumer Goods","Supply chain standards including water","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity; 
                    
                    
                        Vendor standards","Calvert Research & Management","Vote: 30.8%",2012,"PDF"
"P.F. Chang's China Bistro, Inc.","Food and Beverage","Sustainability report","Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"Hewlett-Packard Company","Electronics","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Comcast Corporation","Communications","Energy efficiency in cable set-top boxes","Energy Efficiency (products)","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Chevron Corporation","Oil and Gas","Independent board member with environmental expertise","Air Pollution; 
                    
                    
                        Governance; 
                    
                    
                        Water Pollution","New York State Comptroller","Vote: 21.5%",2012,"PDF"
"Yum! Brands, Inc.","Food and Beverage","Comprehensive sustainable palm oil policy","Climate Change; 
                    
                    
                        Forests","Trillium Asset Management","Vote: 37%",2012,"NOT"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 31.6%",2012,"PDF"
"Danaher Corp.","Manufacturing","Sustainability report including energy efficiency","Energy Efficiency (industrial); 
                    
                    
                        Sustainability Reporting","Presbyterian Church (USA)","Withdrawn; Company will address",2012,"NOT"
"ConocoPhillips","Oil and Gas","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Presbyterian Church (USA)","Vote: 27%",2012,"PDF"
"R.R. Donnelley & Sons Company","Business Services","Sustainable paper sourcing","Forests; 
                    
                    
                        Supply Chain","Domini Impact Investments LLC","Vote: 29%",2011,"NOT"
"Chevron Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Green Century Capital Management","Vote: 27.9%",2012,"PDF"
"DR Horton Inc.","Real Estate","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","The Nathan Cummings Foundation","Vote: 34%",2011,"NOT"
"Archer Daniels Midland Company","Agriculture","Palm oil sourcing","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","The Nathan Cummings Foundation","Vote: 4.2%",2011,"NOT"
"AMB Property Corporation","Real Estate","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Amalgamated Bank","Withdrawn; Company will address",2011,"NOT"
"Emerson Electric Co.","Other","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 37.6%",2013,"PDF"
"Dominion Resources, Inc.","Electric Power","Mountain top removal impacts","Community Impacts; 
                    
                    
                        Mountaintop Removal","Mark Kresowik","Vote: 9.5%",2012,"PDF"
"Empire District Electric Company","Electric Power","Coal risk exposure","Coal","Midwest Coalition for Responsible Investment","Withdrawn; Company will address",2012,"NOT"
"CBRE Group, Inc","Real Estate","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Withdrawn; Company will address",2011,"NOT"
"Hershey Company","Food and Beverage","Palm oil sourcing","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Adrian Dominican Sisters","Withdrawn; Company will address",2011,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Oil sands risk report","Oil Sands","Green Century Capital Management","Omitted",2012,"NOT"
"J. M. Smucker Company","Food and Beverage","Climate risk in supply chain","Climate Change; 
                    
                    
                        Supply Chain","Calvert Research & Management","Vote: 30.5%",2011,"NOT"
